Ensembl.ID	Gene.Symbol	GNF.GeneAtlas.Specificity
ENSMUSG00000020493	Prr11	TRE
ENSMUSG00000020513	Tubd1	TRE
ENSMUSG00000020524	Gria1	TRE
ENSMUSG00000020532	Acaca	TRE
ENSMUSG00000020542	Myocd	TRE
ENSMUSG00000020581	Agr2	TRE
ENSMUSG00000020583	Matn3	TRE
ENSMUSG00000020598	Nrcam	TRE
ENSMUSG00000020599	Rgs9	TRE
ENSMUSG00000020600	Slc7a15	TRE
ENSMUSG00000020604	Arsg	TRE
ENSMUSG00000020617	1700012B07Rik	TRE
ENSMUSG00000020620	Abca8b	TRE
ENSMUSG00000020623	Map2k6	TRE
ENSMUSG00000020627	Klhl29	TRE
ENSMUSG00000020635	Fkbp1b	TRE
ENSMUSG00000020651	Slc26a4	TRE
ENSMUSG00000020652	Cenpo	TRE
ENSMUSG00000020657	Dnajc27	TRE
ENSMUSG00000020658	Efr3b	TRE
ENSMUSG00000020660	Pomc	TRE
ENSMUSG00000020672	Sntg2	TRE
ENSMUSG00000020679	Hnf1b	TRE
ENSMUSG00000020684	Rasl10b	TRE
ENSMUSG00000020692	Nle1	TRE
ENSMUSG00000020695	Mrc2	TRE
ENSMUSG00000020698	Cct6b	TRE
ENSMUSG00000020704	Accn1	TRE
ENSMUSG00000020712	Tcam1	TRE
ENSMUSG00000020713	Gh	TRE
ENSMUSG00000020717	Pecam1	TRE
ENSMUSG00000020718	Polg2	TRE
ENSMUSG00000020723	Cacng4	TRE
ENSMUSG00000020728	Ccdc46	TRE
ENSMUSG00000020732	Rab37	TRE
ENSMUSG00000020734	Grin2c	TRE
ENSMUSG00000020744	Slc25a19	TRE
ENSMUSG00000020752	Recql5	TRE
ENSMUSG00000020785	Camkk1	TRE
ENSMUSG00000020787	P2rx1	TRE
ENSMUSG00000020798	Spns3	TRE
ENSMUSG00000020802	Ube2o	TRE
ENSMUSG00000020808	Fam64a	TRE
ENSMUSG00000020811	Wscd1	TRE
ENSMUSG00000020812	1810032O08Rik	TRE
ENSMUSG00000020814	Mxra7	TRE
ENSMUSG00000020826	Nos2	TRE
ENSMUSG00000020834	Dhrs13	TRE
ENSMUSG00000020836	Coro6	TRE
ENSMUSG00000020838	Slc6a4	TRE
ENSMUSG00000020839	Tmigd1	TRE
ENSMUSG00000020866	Cacna1g	TRE
ENSMUSG00000020868	Xylt2	TRE
ENSMUSG00000020875	Hoxb9	TRE
ENSMUSG00000020877	Scrn2	TRE
ENSMUSG00000020878	Lrrc46	TRE
ENSMUSG00000020882	Cacnb1	TRE
ENSMUSG00000020886	Dlg4	TRE
ENSMUSG00000020889	Nr1d1	TRE
ENSMUSG00000020897	Aurkb	TRE
ENSMUSG00000020901	Pik3r5	TRE
ENSMUSG00000020904	Wdr16	TRE
ENSMUSG00000020907	Rcvrn	TRE
ENSMUSG00000020912	Krt12	TRE
ENSMUSG00000020913	Krt24	TRE
ENSMUSG00000020926	Adam11	TRE
ENSMUSG00000020941	Map3k14	TRE
ENSMUSG00000020953	Coch	TRE
ENSMUSG00000020963	Tshr	TRE
ENSMUSG00000020973	1110034A24Rik	TRE
ENSMUSG00000020990	Cdkl1	TRE
ENSMUSG00000021007	Spata7	TRE
ENSMUSG00000021010	Npas3	TRE
ENSMUSG00000021023	1110008L16Rik	TRE
ENSMUSG00000021047	Nova1	TRE
ENSMUSG00000021055	Esr2	TRE
ENSMUSG00000021056	Tex21	TRE
ENSMUSG00000021057	Akap5	TRE
ENSMUSG00000021061	Spnb1	TRE
ENSMUSG00000021066	Atl1	TRE
ENSMUSG00000021071	Trim9	TRE
ENSMUSG00000021086	4930403N07Rik	TRE
ENSMUSG00000021087	Rtn1	TRE
ENSMUSG00000021090	Lrrc9	TRE
ENSMUSG00000021098	4930447C04Rik	TRE
ENSMUSG00000021123	Rdh12	TRE
ENSMUSG00000021125	Arg2	TRE
ENSMUSG00000021130	Galntl1	TRE
ENSMUSG00000021135	Slc10a1	TRE
ENSMUSG00000021143	Pacs2	TRE
ENSMUSG00000021176	2610021K21Rik	TRE
ENSMUSG00000021177	Tdp1	TRE
ENSMUSG00000021194	Chga	TRE
ENSMUSG00000021209	Ppp4r4	TRE
ENSMUSG00000021210	Akr1c6	TRE
ENSMUSG00000021217	Tshz3	TRE
ENSMUSG00000021221	Dpf3	TRE
ENSMUSG00000021235	Coq6	TRE
ENSMUSG00000021239	Vsx2	TRE
ENSMUSG00000021255	Esrrb	TRE
ENSMUSG00000021256	Vash1	TRE
ENSMUSG00000021257	Angel1	TRE
ENSMUSG00000021258	Ccnk	TRE
ENSMUSG00000021259	Cyp46a1	TRE
ENSMUSG00000021265	Slc25a29	TRE
ENSMUSG00000021278	Amn	TRE
ENSMUSG00000021280	1200009I06Rik	TRE
ENSMUSG00000021294	Kif26a	TRE
ENSMUSG00000021298	Gpr132	TRE
ENSMUSG00000021301	Hecw1	TRE
ENSMUSG00000021303	Gng4	TRE
ENSMUSG00000021313	Ryr2	TRE
ENSMUSG00000021318	Gli3	TRE
ENSMUSG00000021322	Aoah	TRE
ENSMUSG00000021335	Slc17a1	TRE
ENSMUSG00000021337	Scgn	TRE
ENSMUSG00000021356	Irf4	TRE
ENSMUSG00000021363	Mak	TRE
ENSMUSG00000021364	Elovl2	TRE
ENSMUSG00000021367	Edn1	TRE
ENSMUSG00000021376	Tpmt	TRE
ENSMUSG00000021388	Aspn	TRE
ENSMUSG00000021391	Cenpp	TRE
ENSMUSG00000021396	Nxnl2	TRE
ENSMUSG00000021403	Serpinb9b	TRE
ENSMUSG00000021414	1700026J04Rik	TRE
ENSMUSG00000021416	Eci3	TRE
ENSMUSG00000021423	Ly86	TRE
ENSMUSG00000021464	Ror2	TRE
ENSMUSG00000021469	Msx2	TRE
ENSMUSG00000021483	Cdk20	TRE
ENSMUSG00000021490	Slc34a1	TRE
ENSMUSG00000021492	F12	TRE
ENSMUSG00000021499	Catsper3	TRE
ENSMUSG00000021553	Slc28a3	TRE
ENSMUSG00000021565	Slc6a19	TRE
ENSMUSG00000021567	Nkd2	TRE
ENSMUSG00000021572	Cep72	TRE
ENSMUSG00000021575	Ahrr	TRE
ENSMUSG00000021587	Pcsk1	TRE
ENSMUSG00000021594	Srd5a1	TRE
ENSMUSG00000021596	Mctp1	TRE
ENSMUSG00000021604	Irx4	TRE
ENSMUSG00000021613	Hapln1	TRE
ENSMUSG00000021614	Vcan	TRE
ENSMUSG00000021615	Xrcc4	TRE
ENSMUSG00000021620	Acot12	TRE
ENSMUSG00000021624	Cd180	TRE
ENSMUSG00000021640	Naip1	TRE
ENSMUSG00000021675	F2rl2	TRE
ENSMUSG00000021678	F2rl1	TRE
ENSMUSG00000021680	Crhbp	TRE
ENSMUSG00000021694	Ercc8	TRE
ENSMUSG00000021697	Depdc1b	TRE
ENSMUSG00000021700	Rab3c	TRE
ENSMUSG00000021702	Thbs4	TRE
ENSMUSG00000021708	Rasgrf2	TRE
ENSMUSG00000021714	Cenpk	TRE
ENSMUSG00000021719	Rgs7bp	TRE
ENSMUSG00000021720	Rnf180	TRE
ENSMUSG00000021730	Hcn1	TRE
ENSMUSG00000021747	4930452B06Rik	TRE
ENSMUSG00000021758	Ddx4	TRE
ENSMUSG00000021768	Dusp13	TRE
ENSMUSG00000021803	Cdhr1	TRE
ENSMUSG00000021806	Nid2	TRE
ENSMUSG00000021815	Zmynd17	TRE
ENSMUSG00000021848	Otx2	TRE
ENSMUSG00000021850	1700011H14Rik	TRE
ENSMUSG00000021879	Dnahc12	TRE
ENSMUSG00000021880	Rnase6	TRE
ENSMUSG00000021884	Hacl1	TRE
ENSMUSG00000021898	Asb14	TRE
ENSMUSG00000021902	Phf7	TRE
ENSMUSG00000021903	Galntl2	TRE
ENSMUSG00000021904	Sema3g	TRE
ENSMUSG00000021918	Nek4	TRE
ENSMUSG00000021919	Chat	TRE
ENSMUSG00000021922	Itih4	TRE
ENSMUSG00000021944	Gata4	TRE
ENSMUSG00000021953	Tdh	TRE
ENSMUSG00000021965	F630043A04Rik	TRE
ENSMUSG00000021974	Fgf9	TRE
ENSMUSG00000021983	Atp8a2	TRE
ENSMUSG00000021986	Fam123a	TRE
ENSMUSG00000021991	Cacna2d3	TRE
ENSMUSG00000021994	Wnt5a	TRE
ENSMUSG00000021997	Lrrc63	TRE
ENSMUSG00000021999	Cpb2	TRE
ENSMUSG00000022012	Enox1	TRE
ENSMUSG00000022014	Epsti1	TRE
ENSMUSG00000022015	Tnfsf11	TRE
ENSMUSG00000022026	Olfm4	TRE
ENSMUSG00000022034	Esco2	TRE
ENSMUSG00000022039	Adam2	TRE
ENSMUSG00000022053	Ebf2	TRE
ENSMUSG00000022057	Adamdec1	TRE
ENSMUSG00000022075	Rhobtb2	TRE
ENSMUSG00000022076	Klhl1	TRE
ENSMUSG00000022085	Pebp4	TRE
ENSMUSG00000022091	Sorbs3	TRE
ENSMUSG00000022092	Ppp3cc	TRE
ENSMUSG00000022099	Epb4.9	TRE
ENSMUSG00000022102	Dok2	TRE
ENSMUSG00000022103	Gfra2	TRE
ENSMUSG00000022112	Gpc5	TRE
ENSMUSG00000022114	Spry2	TRE
ENSMUSG00000022120	Rnf219	TRE
ENSMUSG00000022126	Irg1	TRE
ENSMUSG00000022129	Dct	TRE
ENSMUSG00000022149	C9	TRE
ENSMUSG00000022156	Gzme	TRE
ENSMUSG00000022157	Mcpt8	TRE
ENSMUSG00000022176	Rem2	TRE
ENSMUSG00000022180	Slc7a8	TRE
ENSMUSG00000022181	C6	TRE
ENSMUSG00000022197	Pdzd2	TRE
ENSMUSG00000022199	Slc22a17	TRE
ENSMUSG00000022208	Jph4	TRE
ENSMUSG00000022211	Lrrc16b	TRE
ENSMUSG00000022219	Cideb	TRE
ENSMUSG00000022220	Adcy4	TRE
ENSMUSG00000022225	Cma1	TRE
ENSMUSG00000022229	Atp12a	TRE
ENSMUSG00000022236	Ropn1l	TRE
ENSMUSG00000022244	Amacr	TRE
ENSMUSG00000022245	Skor1	TRE
ENSMUSG00000022249	Ttc23l	TRE
ENSMUSG00000022296	Baalc	TRE
ENSMUSG00000022303	Dcstamp	TRE
ENSMUSG00000022304	Dpys	TRE
ENSMUSG00000022306	Zfpm2	TRE
ENSMUSG00000022311	Csmd3	TRE
ENSMUSG00000022321	Cdh10	TRE
ENSMUSG00000022323	Hrsp12	TRE
ENSMUSG00000022325	Pop1	TRE
ENSMUSG00000022330	Osr2	TRE
ENSMUSG00000022340	Sybu	TRE
ENSMUSG00000022366	Slc22a22	TRE
ENSMUSG00000022367	Has2	TRE
ENSMUSG00000022375	Lrrc6	TRE
ENSMUSG00000022376	Adcy8	TRE
ENSMUSG00000022382	Wnt7b	TRE
ENSMUSG00000022383	Ppara	TRE
ENSMUSG00000022385	Gtse1	TRE
ENSMUSG00000022415	Syngr1	TRE
ENSMUSG00000022420	Dnalc4	TRE
ENSMUSG00000022429	Dmc1	TRE
ENSMUSG00000022432	Smc1b	TRE
ENSMUSG00000022439	Parvg	TRE
ENSMUSG00000022440	C1qtnf6	TRE
ENSMUSG00000022441	Efcab6	TRE
ENSMUSG00000022449	Adamts20	TRE
ENSMUSG00000022454	Nell2	TRE
ENSMUSG00000022456	Sept3	TRE
ENSMUSG00000022464	Slc38a4	TRE
ENSMUSG00000022468	Endou	TRE
ENSMUSG00000022483	Col2a1	TRE
ENSMUSG00000022485	Hoxc5	TRE
ENSMUSG00000022489	Pde1b	TRE
ENSMUSG00000022491	Glycam1	TRE
ENSMUSG00000022501	Prm1	TRE
ENSMUSG00000022504	Ciita	TRE
ENSMUSG00000022510	Trp63	TRE
ENSMUSG00000022512	Cldn1	TRE
ENSMUSG00000022518	4930562C15Rik	TRE
ENSMUSG00000022534	Mefv	TRE
ENSMUSG00000022537	Tmem44	TRE
ENSMUSG00000022545	Ercc4	TRE
ENSMUSG00000022574	Naprt1	TRE
ENSMUSG00000022577	Ly6h	TRE
ENSMUSG00000022579	Gpihbp1	TRE
ENSMUSG00000022580	Rhpn1	TRE
ENSMUSG00000022598	Psca	TRE
ENSMUSG00000022602	Arc	TRE
ENSMUSG00000022610	Mapk12	TRE
ENSMUSG00000022613	Miox	TRE
ENSMUSG00000022657	Cd96	TRE
ENSMUSG00000022658	Tagln3	TRE
ENSMUSG00000022659	Gcet2	TRE
ENSMUSG00000022667	Cd200r1	TRE
ENSMUSG00000022679	Mpv17l	TRE
ENSMUSG00000022683	Pla2g10	TRE
ENSMUSG00000022686	B3gnt5	TRE
ENSMUSG00000022696	Sidt1	TRE
ENSMUSG00000022753	Tmem30c	TRE
ENSMUSG00000022754	Tmem45a	TRE
ENSMUSG00000022762	Ncam2	TRE
ENSMUSG00000022763	Aifm3	TRE
ENSMUSG00000022766	Serpind1	TRE
ENSMUSG00000022768	Ccdc116	TRE
ENSMUSG00000022773	Ypel1	TRE
ENSMUSG00000022787	Wdr53	TRE
ENSMUSG00000022790	Igsf11	TRE
ENSMUSG00000022802	Lmln	TRE
ENSMUSG00000022803	Popdc2	TRE
ENSMUSG00000022805	4932425I24Rik	TRE
ENSMUSG00000022809	Nr1i2	TRE
ENSMUSG00000022821	Hgd	TRE
ENSMUSG00000022824	Muc13	TRE
ENSMUSG00000022832	Ropn1	TRE
ENSMUSG00000022838	Eaf2	TRE
ENSMUSG00000022840	Adcy5	TRE
ENSMUSG00000022843	Clcn2	TRE
ENSMUSG00000022849	Hspbap1	TRE
ENSMUSG00000022853	Ehhadh	TRE
ENSMUSG00000022861	Dgkg	TRE
ENSMUSG00000022868	Ahsg	TRE
ENSMUSG00000022875	Kng1	TRE
ENSMUSG00000022887	Masp1	TRE
ENSMUSG00000022900	Ildr1	TRE
ENSMUSG00000022901	Cd86	TRE
ENSMUSG00000022935	Grik1	TRE
ENSMUSG00000022941	Ripply3	TRE
ENSMUSG00000022972	1110004E09Rik	TRE
ENSMUSG00000022993	4930415O20Rik	TRE
ENSMUSG00000022999	Lmbr1l	TRE
ENSMUSG00000023000	Dhh	TRE
ENSMUSG00000023017	Accn2	TRE
ENSMUSG00000023018	Smarcd1	TRE
ENSMUSG00000023033	Scn8a	TRE
ENSMUSG00000023045	Soat2	TRE
ENSMUSG00000023047	Amhr2	TRE
ENSMUSG00000023051	Tarbp2	TRE
ENSMUSG00000023064	Sncg	TRE
ENSMUSG00000023066	Rttn	TRE
ENSMUSG00000023078	Cxcl13	TRE
ENSMUSG00000023084	4933430H15Rik	TRE
ENSMUSG00000023132	Gzma	TRE
ENSMUSG00000023143	Nagpa	TRE
ENSMUSG00000023151	Lrrc69	TRE
ENSMUSG00000023191	Leprel2	TRE
ENSMUSG00000023206	Il15ra	TRE
ENSMUSG00000023235	Ccl25	TRE
ENSMUSG00000023236	Scg5	TRE
ENSMUSG00000023262	Acy1	TRE
ENSMUSG00000023266	Frs3	TRE
ENSMUSG00000023267	Gabrr2	TRE
ENSMUSG00000023274	Cd4	TRE
ENSMUSG00000023328	Ache	TRE
ENSMUSG00000023333	Gcm1	TRE
ENSMUSG00000023336	Wfdc1	TRE
ENSMUSG00000023345	Poc1a	TRE
ENSMUSG00000023349	Clec4n	TRE
ENSMUSG00000023391	Dlx2	TRE
ENSMUSG00000023393	Slc17a9	TRE
ENSMUSG00000023403	Stk31	TRE
ENSMUSG00000023411	Nfatc4	TRE
ENSMUSG00000023443	Esx1	TRE
ENSMUSG00000023467	Tulp2	TRE
ENSMUSG00000023473	Celsr3	TRE
ENSMUSG00000023484	Prph	TRE
ENSMUSG00000023800	Tiam2	TRE
ENSMUSG00000023829	Slc22a1	TRE
ENSMUSG00000023868	Pde10a	TRE
ENSMUSG00000023873	1700010I14Rik	TRE
ENSMUSG00000023882	Zfp54	TRE
ENSMUSG00000023885	Thbs2	TRE
ENSMUSG00000023892	Zfp51	TRE
ENSMUSG00000023926	Rhag	TRE
ENSMUSG00000023931	Efhb	TRE
ENSMUSG00000023935	Spats1	TRE
ENSMUSG00000023938	Aars2	TRE
ENSMUSG00000023940	Sgol1	TRE
ENSMUSG00000023949	Tcte1	TRE
ENSMUSG00000023963	Cyp39a1	TRE
ENSMUSG00000023964	Calcr	TRE
ENSMUSG00000023966	Rsph9	TRE
ENSMUSG00000023972	Ptk7	TRE
ENSMUSG00000023979	Guca1b	TRE
ENSMUSG00000023982	Guca1a	TRE
ENSMUSG00000023992	Trem2	TRE
ENSMUSG00000023999	Kif6	TRE
ENSMUSG00000024008	Cpne5	TRE
ENSMUSG00000024011	Pi16	TRE
ENSMUSG00000024013	Fgd2	TRE
ENSMUSG00000024018	1110021J02Rik	TRE
ENSMUSG00000024033	Rsph1	TRE
ENSMUSG00000024034	Tmprss3	TRE
ENSMUSG00000024036	Slc37a1	TRE
ENSMUSG00000024037	Wdr4	TRE
ENSMUSG00000024039	Cbs	TRE
ENSMUSG00000024041	Cryaa	TRE
ENSMUSG00000024055	Cyp4f13	TRE
ENSMUSG00000024063	Lbh	TRE
ENSMUSG00000024076	Vit	TRE
ENSMUSG00000024078	Ttc27	TRE
ENSMUSG00000024107	Lhcgr	TRE
ENSMUSG00000024112	Cacna1h	TRE
ENSMUSG00000024118	1600002H07Rik	TRE
ENSMUSG00000024124	Prss30	TRE
ENSMUSG00000024131	Slc3a1	TRE
ENSMUSG00000024134	Six2	TRE
ENSMUSG00000024136	Dnase1l2	TRE
ENSMUSG00000024154	Gtf2a1l	TRE
ENSMUSG00000024168	Tmem204	TRE
ENSMUSG00000024169	Ift140	TRE
ENSMUSG00000024172	St6gal2	TRE
ENSMUSG00000024174	Pot1b	TRE
ENSMUSG00000024175	Tekt4	TRE
ENSMUSG00000024176	Sox8	TRE
ENSMUSG00000024177	Nme4	TRE
ENSMUSG00000024180	Tmem8	TRE
ENSMUSG00000024186	Rgs11	TRE
ENSMUSG00000024206	Rfx2	TRE
ENSMUSG00000024207	Acsbg2	TRE
ENSMUSG00000024211	Grm8	TRE
ENSMUSG00000024215	Spdef	TRE
ENSMUSG00000024227	2610034M16Rik	TRE
ENSMUSG00000024246	Thumpd2	TRE
ENSMUSG00000024254	Abcg8	TRE
ENSMUSG00000024268	Celf4	TRE
ENSMUSG00000024269	5730494M16Rik	TRE
ENSMUSG00000024299	Adamts10	TRE
ENSMUSG00000024301	Kifc5b	TRE
ENSMUSG00000024313	Mep1b	TRE
ENSMUSG00000024330	Col11a2	TRE
ENSMUSG00000024334	H2-Oa	TRE
ENSMUSG00000024340	Btnl2	TRE
ENSMUSG00000024347	Psd2	TRE
ENSMUSG00000024350	Dnajc18	TRE
ENSMUSG00000024352	Spata24	TRE
ENSMUSG00000024353	2010001M09Rik	TRE
ENSMUSG00000024354	Slc23a1	TRE
ENSMUSG00000024366	Gfra3	TRE
ENSMUSG00000024376	Epb4.1l4a	TRE
ENSMUSG00000024391	Apom	TRE
ENSMUSG00000024397	Aif1	TRE
ENSMUSG00000024399	Ltb	TRE
ENSMUSG00000024401	Tnf	TRE
ENSMUSG00000024402	Lta	TRE
ENSMUSG00000024403	Atp6v1g2	TRE
ENSMUSG00000024424	Ttc39c	TRE
ENSMUSG00000024430	Cabyr	TRE
ENSMUSG00000024440	Pcdh12	TRE
ENSMUSG00000024451	Arap3	TRE
ENSMUSG00000024462	Gabbr1	TRE
ENSMUSG00000024486	Hbegf	TRE
ENSMUSG00000024500	Ppp2r2b	TRE
ENSMUSG00000024502	Jakmip2	TRE
ENSMUSG00000024505	Dtwd2	TRE
ENSMUSG00000024524	Gnal	TRE
ENSMUSG00000024526	Cidea	TRE
ENSMUSG00000024530	Slmo1	TRE
ENSMUSG00000024534	Sncaip	TRE
ENSMUSG00000024552	Slc14a2	TRE
ENSMUSG00000024558	Mapk4	TRE
ENSMUSG00000024565	Sall3	TRE
ENSMUSG00000024575	Pde6a	TRE
ENSMUSG00000024578	Il17b	TRE
ENSMUSG00000024593	Megf10	TRE
ENSMUSG00000024598	Fbn2	TRE
ENSMUSG00000024617	Camk2a	TRE
ENSMUSG00000024619	Cdx1	TRE
ENSMUSG00000024663	Rab3il1	TRE
ENSMUSG00000024666	Tmem138	TRE
ENSMUSG00000024669	Cd5	TRE
ENSMUSG00000024670	Cd6	TRE
ENSMUSG00000024672	Ms4a7	TRE
ENSMUSG00000024673	Ms4a1	TRE
ENSMUSG00000024675	Ms4a4c	TRE
ENSMUSG00000024679	Ms4a6d	TRE
ENSMUSG00000024696	Lpxn	TRE
ENSMUSG00000024697	Gna14	TRE
ENSMUSG00000024727	Trpm6	TRE
ENSMUSG00000024729	1700017D01Rik	TRE
ENSMUSG00000024730	Ms4a8a	TRE
ENSMUSG00000024736	Tmem132a	TRE
ENSMUSG00000024737	Slc15a3	TRE
ENSMUSG00000024749	Tmc1	TRE
ENSMUSG00000024774	Ankrd22	TRE
ENSMUSG00000024777	Ppp2r5b	TRE
ENSMUSG00000024785	Rcl1	TRE
ENSMUSG00000024786	1700123I01Rik	TRE
ENSMUSG00000024837	Dmrt1	TRE
ENSMUSG00000024842	Cabp4	TRE
ENSMUSG00000024846	Cst6	TRE
ENSMUSG00000024854	Pold4	TRE
ENSMUSG00000024857	Cabp2	TRE
ENSMUSG00000024871	Doc2g	TRE
ENSMUSG00000024873	Cnih2	TRE
ENSMUSG00000024883	Rin1	TRE
ENSMUSG00000024885	Aldh3b1	TRE
ENSMUSG00000024897	Apba1	TRE
ENSMUSG00000024905	Mtl5	TRE
ENSMUSG00000024907	Gal	TRE
ENSMUSG00000024909	Efemp2	TRE
ENSMUSG00000024910	Ctsw	TRE
ENSMUSG00000024912	Fosl1	TRE
ENSMUSG00000024948	Map4k2	TRE
ENSMUSG00000024958	Gpr137	TRE
ENSMUSG00000024960	Plcb3	TRE
ENSMUSG00000024962	Vegfb	TRE
ENSMUSG00000024970	AI846148	TRE
ENSMUSG00000024973	Hrasls5	TRE
ENSMUSG00000024987	Cyp26a1	TRE
ENSMUSG00000024992	Pde6c	TRE
ENSMUSG00000024998	Plce1	TRE
ENSMUSG00000025002	Cyp2c55	TRE
ENSMUSG00000025004	Cyp2c40	TRE
ENSMUSG00000025010	Ccnj	TRE
ENSMUSG00000025014	Dntt	TRE
ENSMUSG00000025017	Pik3ap1	TRE
ENSMUSG00000025020	Slit1	TRE
ENSMUSG00000025038	Efhc2	TRE
ENSMUSG00000025044	Msr1	TRE
ENSMUSG00000025058	5430427O19Rik	TRE
ENSMUSG00000025064	Col17a1	TRE
ENSMUSG00000025069	Gsto2	TRE
ENSMUSG00000025081	Tdrd1	TRE
ENSMUSG00000025090	1700011F14Rik	TRE
ENSMUSG00000025092	Hspa12a	TRE
ENSMUSG00000025094	Slc18a2	TRE
ENSMUSG00000025128	Bhlhe22	TRE
ENSMUSG00000025140	Pycr1	TRE
ENSMUSG00000025142	Aspscr1	TRE
ENSMUSG00000025161	Slc16a3	TRE
ENSMUSG00000025163	Cd7	TRE
ENSMUSG00000025165	Sectm1a	TRE
ENSMUSG00000025170	Rab40b	TRE
ENSMUSG00000025171	Ubtd1	TRE
ENSMUSG00000025172	Ankrd2	TRE
ENSMUSG00000025175	Fn3k	TRE
ENSMUSG00000025176	Hoga1	TRE
ENSMUSG00000025185	Loxl4	TRE
ENSMUSG00000025189	Cnnm1	TRE
ENSMUSG00000025192	Entpd7	TRE
ENSMUSG00000025194	Abcc2	TRE
ENSMUSG00000025195	Dnmbp	TRE
ENSMUSG00000025196	Cpn1	TRE
ENSMUSG00000025197	Cyp2c44	TRE
ENSMUSG00000025202	Scd3	TRE
ENSMUSG00000025207	Sema4g	TRE
ENSMUSG00000025216	Lbx1	TRE
ENSMUSG00000025218	Poll	TRE
ENSMUSG00000025221	Kcnip2	TRE
ENSMUSG00000025229	Pitx3	TRE
ENSMUSG00000025236	Adpgk	TRE
ENSMUSG00000025243	Slc6a20b	TRE
ENSMUSG00000025257	Ribc1	TRE
ENSMUSG00000025270	Alas2	TRE
ENSMUSG00000025271	Pfkfb1	TRE
ENSMUSG00000025272	Tro	TRE
ENSMUSG00000025279	Dnase1l3	TRE
ENSMUSG00000025317	Car5a	TRE
ENSMUSG00000025318	Jph3	TRE
ENSMUSG00000025321	Itgb8	TRE
ENSMUSG00000025329	Padi1	TRE
ENSMUSG00000025330	Padi4	TRE
ENSMUSG00000025333	Gpr143	TRE
ENSMUSG00000025348	Itga7	TRE
ENSMUSG00000025355	Mmp19	TRE
ENSMUSG00000025359	Pmel	TRE
ENSMUSG00000025370	Cdh9	TRE
ENSMUSG00000025372	Baiap2	TRE
ENSMUSG00000025375	Aatk	TRE
ENSMUSG00000025380	Fscn2	TRE
ENSMUSG00000025384	2310003H01Rik	TRE
ENSMUSG00000025386	Pde6g	TRE
ENSMUSG00000025389	Mip	TRE
ENSMUSG00000025407	Gli1	TRE
ENSMUSG00000025420	Katnal2	TRE
ENSMUSG00000025425	St8sia5	TRE
ENSMUSG00000025427	Rnf165	TRE
ENSMUSG00000025429	Pstpip2	TRE
ENSMUSG00000025432	Avil	TRE
ENSMUSG00000025433	Crisp3	TRE
ENSMUSG00000025464	Paox	TRE
ENSMUSG00000025468	Caly	TRE
ENSMUSG00000025473	Adam8	TRE
ENSMUSG00000025475	Gpr123	TRE
ENSMUSG00000025480	Syce1	TRE
ENSMUSG00000025489	Ifitm5	TRE
ENSMUSG00000025496	Drd4	TRE
ENSMUSG00000025497	Cdhr5	TRE
ENSMUSG00000025500	1600016N20Rik	TRE
ENSMUSG00000025515	Muc2	TRE
ENSMUSG00000025528	2010106E10Rik	TRE
ENSMUSG00000025529	Zfp711	TRE
ENSMUSG00000025537	Phkg1	TRE
ENSMUSG00000025551	Fgf14	TRE
ENSMUSG00000025557	Slc15a1	TRE
ENSMUSG00000025573	6030468B19Rik	TRE
ENSMUSG00000025576	Rbfox3	TRE
ENSMUSG00000025582	Nptx1	TRE
ENSMUSG00000025586	Cpeb1	TRE
ENSMUSG00000025592	Dach2	TRE
ENSMUSG00000025597	Klhl4	TRE
ENSMUSG00000025645	Ccdc51	TRE
ENSMUSG00000025650	Col7a1	TRE
ENSMUSG00000025656	Arhgef9	TRE
ENSMUSG00000025658	Cnksr2	TRE
ENSMUSG00000025665	Rps6ka6	TRE
ENSMUSG00000025701	Alox5	TRE
ENSMUSG00000025723	Nmb	TRE
ENSMUSG00000025735	Rhbdl1	TRE
ENSMUSG00000025738	Fbxl16	TRE
ENSMUSG00000025739	Gng13	TRE
ENSMUSG00000025746	Il6	TRE
ENSMUSG00000025762	Larp1b	TRE
ENSMUSG00000025776	Crispld1	TRE
ENSMUSG00000025782	Taf3	TRE
ENSMUSG00000025787	Tgm4	TRE
ENSMUSG00000025804	Ccr1	TRE
ENSMUSG00000025808	Ccdc7	TRE
ENSMUSG00000025815	Dhtkd1	TRE
ENSMUSG00000025867	Cplx2	TRE
ENSMUSG00000025875	Tspan17	TRE
ENSMUSG00000025876	Unc5a	TRE
ENSMUSG00000025877	Hk3	TRE
ENSMUSG00000025892	Gria4	TRE
ENSMUSG00000025900	Rp1	TRE
ENSMUSG00000025902	Sox17	TRE
ENSMUSG00000025905	Oprk1	TRE
ENSMUSG00000025912	Mybl1	TRE
ENSMUSG00000025916	Ppp1r42	TRE
ENSMUSG00000025921	Rdh10	TRE
ENSMUSG00000025927	Tfap2b	TRE
ENSMUSG00000025930	Msc	TRE
ENSMUSG00000025931	Paqr8	TRE
ENSMUSG00000025933	Tmem14a	TRE
ENSMUSG00000025934	Gsta3	TRE
ENSMUSG00000025937	Lactb2	TRE
ENSMUSG00000025946	Pth2r	TRE
ENSMUSG00000025977	Boll	TRE
ENSMUSG00000025983	Ccdc150	TRE
ENSMUSG00000026009	Icos	TRE
ENSMUSG00000026011	Ctla4	TRE
ENSMUSG00000026012	Cd28	TRE
ENSMUSG00000026014	Raph1	TRE
ENSMUSG00000026017	Carf	TRE
